id,followers_count,friends_count,screen_name
794647904430526464,0,51,LinjasseBilal
794647672015691777,5,74,azkri_hassan
794647953453490176,17,65,nemelioui
794647943827652608,3,70,Lewisallen9602
794647678336507905,20,246,damani_hiren
772466505254576128,12,112,MrcioDeAndrade2
794647655246954500,6,76,mentmoundji2525
794643425765236737,2,111,0inKMzV9BoC1EPI
794645532685860864,7,111,felipe30120886
4143236357,998,994,CamModel_1
794647886453731328,3,26,Jafrew92
794642710451851264,38,276,daniel_12356
737654017954873344,3,26,Wilk1305
794645912144539649,8,30,Thomas818405
794647276455161856,1,21,codbe_a
794646732655226880,14,99,haydenransom3
794645575673217025,10,43,_mxhixhmed_
794646132194476033,31,147,EuanPheely
794645647639085062,7,105,QuerubinsitoD
775447469639565312,3,52,CarlosG75493255
794645539728093184,5,174,123priscila3
794646640237957121,24,171,dNv5klV0zLmo8kk
3317313177,52,338,yedi8hp
794646051516989440,20,171,KamauJon
793534142583599108,15,194,DJ_kanani
724924970908962817,43,133,Hugo31600
3106511548,28,206,BadrSima
756418024521932800,6,16,allexty95
4343920487,10,41,Jessicashing1
794640933589549057,0,37,Roy63465165
794646016125534216,3,18,OmarS04158671
794646071590981633,3,75,HEdakdaki
794637599860281344,14,178,jackslasher17br
794646307017265154,13,166,Fidzi17
794645487743827969,2,123,benmoussabachid
794646313367457793,2,20,Martins21819086
794627185713758209,8,35,Lucas55933665
794644394926362624,0,60,Chouchoumimi18
794645763460657152,17,64,DragonBoyyT2121
794643878154539008,7,208,twhElenOJYrzhbG
790934190527307776,93,470,ADDIBOSS2016
787238590589833216,21,264,AhmerMughal11
794642342108168192,6,93,dishapilot
794644774103945217,8,102,nayibert_franco
794644914453774337,0,79,hicham29112001
794639157041725440,3,30,HamiidYare
794645153701130240,0,53,comando_anass
794644654633402369,9,105,TupacAmine
794644078738685952,28,272,12co4
794644269030141954,1,41,sonukumar20143
737686111728873472,0,58,KosyRaphael
794643825394323458,144,287,magic_mane_
794643807505682432,15,90,Tag97670636
794643385525170176,1,95,freddyfuenmay12
794644561108803584,13,97,obwanga_kevin
794640851167309824,3,86,Bilal681299123
794644026523787264,1,57,suzannevaugha19
794643462876499969,0,21,praveen_gopaul
788660370932137984,116,1080,TshepoPhillip4
